"","stormT","cellT","meanR","maxR","mmaxR","Axismaj","Axismin","ecc","vel","angle","durT","peakX","peakY","peakT"
"stormT",1,0.994255514162978,-0.0244226265306074,0.0263005654634295,0.00957391818544171,-0.00738000756345627,-0.026849201748091,0.0100791877298068,0.00583275882713033,-0.078304796936201,-0.00125409573312309,-0.016700494077433,0.0180460243527054,-0.0113903877535726
"cellT",0.994255514162978,1,-0.0246107493694403,0.026089812082572,0.00938807059262035,-0.00730563786369706,-0.0266481005179295,0.0100291308367393,0.00434960180648503,-0.0794219172924347,-0.00148306654531074,-0.0160379565021745,0.0170950812537716,-0.0117196651630056
"meanR",-0.0244226265306074,-0.0246107493694403,1,0.0568968197634303,0.0753799685846212,-0.172939997939704,-0.213361693071348,-0.0102204451459988,0.0484614005786846,0.142857826117308,0.128937907994589,-0.001269110788427,-0.0169605637081867,0.054380878832328
"maxR",0.0263005654634295,0.026089812082572,0.0568968197634303,1,0.848036304438964,0.272662052102359,0.287420639147625,-0.0321340912630189,-0.0598571493154773,-0.0386728412400813,0.293732920046027,0.116492778084501,-0.0144688130334237,0.24565730106663
"mmaxR",0.00957391818544171,0.00938807059262035,0.0753799685846212,0.848036304438964,1,0.325903603767715,0.328362278554658,-0.029713828198981,-0.0582135808338858,-0.0292256607972289,0.435032577249734,0.112501365639891,-0.0240699485400262,0.353568116445908
"Axismaj",-0.00738000756345627,-0.00730563786369706,-0.172939997939704,0.272662052102359,0.325903603767715,1,0.581251475950053,0.23331430588602,-0.0142438739225053,-0.0581536027300532,0.379562759552623,0.0258810064656325,-0.0153967232220784,0.318169119382954
"Axismin",-0.026849201748091,-0.0266481005179295,-0.213361693071348,0.287420639147625,0.328362278554658,0.581251475950053,1,-0.163248448947145,-0.0250149518117815,-0.0770714256040177,0.320362738146349,0.0158793562756231,-0.0046990263244906,0.274780246710209
"ecc",0.0100791877298068,0.0100291308367393,-0.0102204451459988,-0.0321340912630189,-0.029713828198981,0.23331430588602,-0.163248448947145,1,0.0128606054358457,0.00903070483055227,-0.000579637204029586,0.0126213876623736,-0.0091093495512524,0.00151883490243512
"vel",0.00583275882713033,0.00434960180648503,0.0484614005786846,-0.0598571493154773,-0.0582135808338858,-0.0142438739225053,-0.0250149518117815,0.0128606054358457,1,0.0898467214387028,-0.0420581493097282,-0.0142152694678431,-0.00710514830859549,0.0474156390713976
"angle",-0.078304796936201,-0.0794219172924347,0.142857826117308,-0.0386728412400813,-0.0292256607972289,-0.0581536027300532,-0.0770714256040177,0.00903070483055227,0.0898467214387028,1,0.0128798596564334,0.0150840439141617,-0.00851386795029715,-0.114661246941634
"durT",-0.00125409573312309,-0.00148306654531074,0.128937907994589,0.293732920046027,0.435032577249734,0.379562759552623,0.320362738146349,-0.000579637204029586,-0.0420581493097282,0.0128798596564334,1,0.051922624003634,-0.0496231259464891,0.730401648041602
"peakX",-0.016700494077433,-0.0160379565021745,-0.001269110788427,0.116492778084501,0.112501365639891,0.0258810064656325,0.0158793562756231,0.0126213876623736,-0.0142152694678431,0.0150840439141617,0.051922624003634,1,-0.0948281361818222,0.0592113483796499
"peakY",0.0180460243527054,0.0170950812537716,-0.0169605637081867,-0.0144688130334237,-0.0240699485400262,-0.0153967232220784,-0.0046990263244906,-0.0091093495512524,-0.00710514830859549,-0.00851386795029715,-0.0496231259464891,-0.0948281361818222,1,-0.0264981595297281
"peakT",-0.0113903877535726,-0.0117196651630056,0.054380878832328,0.24565730106663,0.353568116445908,0.318169119382954,0.274780246710209,0.00151883490243512,0.0474156390713976,-0.114661246941634,0.730401648041602,0.0592113483796499,-0.0264981595297281,1
